iteration,rss,elapsed_time,benchmark,tool,trial_id
5,345848,5086,sunflow,phosphor,1002
6,346184,4949,sunflow,phosphor,1002
7,355264,5069,sunflow,phosphor,1002
8,364208,5023,sunflow,phosphor,1002
9,347620,4985,sunflow,phosphor,1002
5,1379896,1242,tradebeans,galette,542
6,1386612,1197,tradebeans,galette,542
7,1388832,1119,tradebeans,galette,542
8,1389400,1100,tradebeans,galette,542
9,1389668,993,tradebeans,galette,542
5,321756,4116,sunflow,galette,1464
6,330648,4097,sunflow,galette,1464
7,331336,4001,sunflow,galette,1464
8,342692,4130,sunflow,galette,1464
9,323276,4126,sunflow,galette,1464
5,770636,1095,h2,phosphor,573
6,773836,1055,h2,phosphor,573
7,783660,1057,h2,phosphor,573
8,778672,1056,h2,phosphor,573
9,779172,1038,h2,phosphor,573
5,347920,824,xalan,phosphor,1006
6,348184,624,xalan,phosphor,1006
7,348812,1109,xalan,phosphor,1006
8,349188,1032,xalan,phosphor,1006
9,349540,496,xalan,phosphor,1006
5,141540,104,fop,none,1180
6,142416,104,fop,none,1180
7,143140,94,fop,none,1180
8,143724,77,fop,none,1180
9,144036,65,fop,none,1180
5,409364,552,graphchi,none,1181
6,384412,476,graphchi,none,1181
7,455884,520,graphchi,none,1181
8,417084,528,graphchi,none,1181
9,383940,477,graphchi,none,1181
5,266220,351,tomcat,none,1360
6,279636,306,tomcat,none,1360
7,265608,310,tomcat,none,1360
8,284564,326,tomcat,none,1360
9,271456,311,tomcat,none,1360
5,429492,6954,luindex,galette,368
6,463328,6825,luindex,galette,368
7,433344,6423,luindex,galette,368
8,429848,7080,luindex,galette,368
9,544108,6835,luindex,galette,368
5,690092,5416,jme,galette,533
6,723304,3753,jme,galette,533
7,728072,5057,jme,galette,533
8,787208,4123,jme,galette,533
9,767700,3635,jme,galette,533
5,722864,804,h2,galette,783
6,738692,985,h2,galette,783
7,785580,878,h2,galette,783
8,740048,893,h2,galette,783
9,742944,819,h2,galette,783
5,1107668,774,spring,phosphor,1673
6,1116092,676,spring,phosphor,1673
7,1118764,675,spring,phosphor,1673
8,1128080,602,spring,phosphor,1673
9,1129156,550,spring,phosphor,1673
5,213568,828,xalan,galette,208
6,241032,638,xalan,galette,208
7,215160,543,xalan,galette,208
8,215880,669,xalan,galette,208
9,254192,661,xalan,galette,208
5,289868,1235,eclipse,none,87
6,285352,3248,eclipse,none,87
7,285800,28645,eclipse,none,87
8,283124,19386,eclipse,none,87
9,283548,51267,eclipse,none,87
5,649504,156,tradebeans,none,1277
6,654552,172,tradebeans,none,1277
7,661548,139,tradebeans,none,1277
8,661720,146,tradebeans,none,1277
9,661756,134,tradebeans,none,1277
5,1519272,7725623,sunflow,mirror-taint,729
6,1369608,7711671,sunflow,mirror-taint,729
7,1309988,7706448,sunflow,mirror-taint,729
8,1345260,7703127,sunflow,mirror-taint,729
9,1352304,7709609,sunflow,mirror-taint,729
5,1533060,6765,tradesoap,galette,1467
6,1585236,5211,tradesoap,galette,1467
7,1586976,5355,tradesoap,galette,1467
8,1588340,5016,tradesoap,galette,1467
9,1593040,5354,tradesoap,galette,1467
5,744164,3073,graphchi,galette,698
6,665052,3010,graphchi,galette,698
7,920836,3070,graphchi,galette,698
8,942692,3156,graphchi,galette,698
9,1010804,3077,graphchi,galette,698
5,195952,201,lusearch,none,1020
6,204964,279,lusearch,none,1020
7,221768,210,lusearch,none,1020
8,206400,149,lusearch,none,1020
9,182240,158,lusearch,none,1020
5,291284,472,pmd,galette,538
